Topic,Count,Name,Representation,Representative_Docs
16,994,16_super_bro__,"['super', 'bro', '', '', '', '', '', '', '', '']","['super', 'super', 'super']"
17,956,17_ok_dilevr_tht_hmm,"['ok', 'dilevr', 'tht', 'hmm', 'apk', 'home', 'im', '', '', '']","['ok', 'ok', 'ok']"
18,744,18_super_supernyc_feb_bro,"['super', 'supernyc', 'feb', 'bro', '', '', '', '', '', '']","['super', 'super', 'super']"
19,639,19_excellent_service_congratulations_product,"['excellent', 'service', 'congratulations', 'product', 'anytime', 'provided', 'far', 'full', 'wow', 'need']","['excellent service', 'excellent service', 'excellent service']"
20,633,20_best_app_yer_chittora,"['best', 'app', 'yer', 'chittora', 'smoot', 'eva', 'ofcccc', 'sweetest', 'sarvce', 'indispensable']","['best app', 'best app', 'best app']"
21,564,21_love_op_baby_wife,"['love', 'op', 'baby', 'wife', 'aaaah', 'sight', 'uhh', 'uh', 'honesty', 'tough']","['love', 'love', 'love']"
22,553,22_service_nice_sir_product,"['service', 'nice', 'sir', 'product', 'wow', 'keep', '', '', '', '']","['nice service', 'nice service', 'nice service']"
23,548,23_fast_fasting_delivery_deliverynice,"['fast', 'fasting', 'delivery', 'deliverynice', 'fastnice', 'goroimari', 'fevry', 'plles', 'pondicherry', 'esay']","['fast delivery', 'fast delivery', 'fast delivery']"
24,458,24_experience_nice_happy_,"['experience', 'nice', 'happy', '', '', '', '', '', '', '']","['nice experience', 'nice experience', 'nice experience']"
25,387,25_wow_oh_fact_guys,"['wow', 'oh', 'fact', 'guys', 'thank', '', '', '', '', '']","['wow', 'wow', 'wow']"
26,374,26_best_service_acceptedbusiness_bestin,"['best', 'service', 'acceptedbusiness', 'bestin', 'besty', 'spp', 'category', 'initiative', 'realy', 'miss']","['best service', 'best service', 'best service']"
27,372,27_gud_guuu_sluper_sentiment,"['gud', 'guuu', 'sluper', 'sentiment', 'gudp', 'hindus', 'hurt', 'wery', 'thats', 'exceptional']","['gud', 'gud', 'gud']"
28,362,28_great_experience_wonderful_wow,"['great', 'experience', 'wonderful', 'wow', 'still', '', '', '', '', '']","['great experience', 'great experience', 'great experience']"
29,332,29_best_bestest_food_among,"['best', 'bestest', 'food', 'among', 'delivery', 'world', 'app', 'yearsstarting', 'magarmachh', 'chepeatvfood']","['best food delivery app', 'best food delivery app', 'best food delivery app']"
30,330,30_khana_bahut_bhai_baithe,"['khana', 'bahut', 'bhai', 'baithe', 'hai', 'milta', 'khane', 'thoda', 'dekhte', 'ghar']","['bhut achha lagta hai zomato ghar baithe baithe khana aa jata hai awesome', 'bahut achcha khana milta hai', 'khana bahut kharab milta hai']"
31,311,31_food_stafe_raely_foods,"['food', 'stafe', 'raely', 'foods', 'lt', 'texture', 'alway', 'worry', 'chinese', 'anyway']","['good food', 'good food', 'good food']"
32,297,32_great_app_effort_fun,"['great', 'app', 'effort', 'fun', 'thats', 'around', 'appreciate', 'far', 'tha', 'life']","['great app', 'great app', 'great app']"
33,290,33_courteous_creepy_boys_polite,"['courteous', 'creepy', 'boys', 'polite', 'thank', 'zomato', 'safe', 'partners', 'thanks', 'rainy']","['zomato service excellent delivery staff courteous', 'best experience zomato perfect delivery polite delivery boys', 'zomato support delivery boysdelivery call customer care supportdelivery boys good personm pregant give order walkshrikant ghagare thank sahebbut zomato u r good']"
34,278,34_wonderful_ooo_ahead_thing,"['wonderful', 'ooo', 'ahead', 'thing', 'go', '', '', '', '', '']","['wonderful', 'wonderful', 'wonderful']"
35,271,35_swiggy_better_way_swiggykeep,"['swiggy', 'better', 'way', 'swiggykeep', 'quess', 'chiggy', 'bhj', 'ohsorry', 'keh', 'vise']","['better swiggy', 'better swiggy', 'better swiggy']"
36,263,36_ordering_easy_easiest_cheerful,"['ordering', 'easy', 'easiest', 'cheerful', 'choice', 'place', 'maggie', 'home', 'eat', 'anywhere']","['easy ordering food quality food nice', 'found really convenient order food family even city connects people better way certainly made birthdays celebrations cheerful feel far familyit provides us opportunity gift near ones form food', 'easy ordering food']"
37,258,37_delivery_delivere_good_tooo,"['delivery', 'delivere', 'good', 'tooo', 'genuine', 'verry', 'let', 'see', 'thank', 'thanks']","['good delivery', 'good delivery', 'good delivery']"
38,258,38_fantastic_nicely_though_,"['fantastic', 'nicely', 'though', '', '', '', '', '', '', '']","['fantastic', 'fantastic', 'fantastic']"
39,251,39_kiya_nhi_nahi_baad,"['kiya', 'nhi', 'nahi', 'baad', 'kar', 'mera', 'koi', 'bhi', 'diya', 'maine']","['order cancel ke baad bhi refund amount nhi diya hai', 'fraud hello zomato mene order kiya avadh food se mera order aaya lekin mere pass nahi aaya mene usko call bhi kiya lagatar kiya lekin usne mera call bhi recieve nahi kiya mujhe mere paise bhi refund nahi kiye ja rahe hain batao kya free ka samajh rakha hai sab kuch yahan mein baitha tha ke order aa raha hai order dikha bhi raha hai lekin order wala nahi dikh raha hai batao ab mein late ho raha tha isliye mene cancel kar diya lekin mujhe mera refund delivery boy attend call', 'please dont order mene 2 item order kiya 1 item cancel kiya mere ko refund nahi mila please dont order zomato cancellation ab paise wapas nahi karte hai']"
40,242,40_enjoy_tasty_delicious_thank,"['enjoy', 'tasty', 'delicious', 'thank', 'home', 'eat', 'healthy', 'foods', 'cook', 'combination']","['enjoy food thank zomato', 'nice n lovely experience feel free foodi love zomatoi like zomatozamato best ab aur nhiplease 500 word bht jyada hitna mat likhne khoplease please please please please please please please please please please please good good good good good good good good good good good good good good good good good good good good good good good please good please good please good please good please good please good please good please good please good please love zomato love', 'ok soi love zomato love mean one single day gosh cant even remember ever made complaints amazing blows mind sometimes get lost thoughts likehow far humans evolved anyways really enjoy food delivered doorstep importantly time without move inch great couch potatoes']"
41,241,41_coupons_coupon_applying_coupans,"['coupons', 'coupon', 'applying', 'coupans', 'coupns', 'coupnes', 'give', 'add', 'discount', 'apply']","['coupons', 'coupons', 'coupons']"
42,239,42_helpful_mybad_srcitizens_helpfulgood,"['helpful', 'mybad', 'srcitizens', 'helpfulgood', 'satiating', 'truely', 'goodit', 'encouraging', 'verry', 'evening']","['helpful', 'helpful', 'helpful']"
43,236,43_bad_plzzz_nothing_wrong,"['bad', 'plzzz', 'nothing', 'wrong', 'really', 'much', '', '', '', '']","['bad', 'bad', 'bad']"
44,229,44_ai_chatbot_bot_chat,"['ai', 'chatbot', 'bot', 'chat', 'human', 'bots', 'connect', 'agent', 'resolve', 'talk']","['pathetic support delivery chat bot doesnt connect executive', 'worst customer care ai bots help wont connect agent', 'worst ever customer service ai chat support']"
45,226,45_love_zomato_islove_poverty,"['love', 'zomato', 'islove', 'poverty', 'umma', 'wanna', 'fud', 'uu', 'uh', 'zomatoo']","['love zomato', 'love zomato', 'love zomato']"
46,222,46_time_others_coorect_develiry,"['time', 'others', 'coorect', 'develiry', 'dealingon', 'rev', 'alwsys', 'deliverythank', 'reserving', 'deliverythanks']","['time delivery', 'time delivery', 'time delivery']"
47,220,47_osm_ossom_oswm_osome,"['osm', 'ossom', 'oswm', 'osome', 'osaam', 'oswam', 'ossmm', 'osssam', 'mst', 'product']","['osm', 'osm', 'osm']"
48,214,48_zanzibar_zometto_sponsored_stocks,"['zanzibar', 'zometto', 'sponsored', 'stocks', 'appealing', 'impression', 'features', 'life', 'regularly', 'useful']","['sometime dont want go things must say zomato one best app prove us everything sitting home thanx zomato nd workere working keep keep smiling shining god bless fun', 'app useful app bachelors families busy persons also thought zomato app emotion indian jai hind jai bharat', 'amazing app zomato made life much easier interface userfriendly features incredibly useful ive using many time im still discovering new things developer team also super responsive updates app regularly great job']"
49,203,49_hunger_hungry_tummy_stomach,"['hunger', 'hungry', 'tummy', 'stomach', 'hungers', 'saviour', 'starving', 'feeding', 'filling', 'feed']","['good hunger time', 'good hunger', 'hunger']"
50,199,50_one_yup_doubt_good,"['one', 'yup', 'doubt', 'good', 'yes', 'else', 'actually', '', '', '']","['good one', 'good one', 'good one']"
51,193,51_job_kunal_pal_jobe,"['job', 'kunal', 'pal', 'jobe', 'bro', 'good', 'done', 'thank', 'well', 'happy']","['good job', 'good job', 'good job']"
52,191,52_boys_boy_humble_behaviour,"['boys', 'boy', 'humble', 'behaviour', 'polite', 'cooperative', 'behavior', 'boyson', 'manners', 'behave']","['nice delivery boys', 'fast delivery delivery boys good', 'good delivery boys time delivery']"
53,189,53_experience_best_huuuuuui_shivi,"['experience', 'best', 'huuuuuui', 'shivi', 'bestliked', 'getthanks', 'chumuu', 'experiencego', 'pleasent', 'ncy']","['best experience', 'best experience', 'best experience']"
54,187,54_amazing_incredible_aweosome_helf,"['amazing', 'incredible', 'aweosome', 'helf', 'hygenic', 'blindly', 'tension', 'app', 'itz', 'max']","['amazing app', 'amazing app', 'amazing app']"
55,182,55_prices_price_affordable_budget,"['prices', 'price', 'affordable', 'budget', 'expensive', 'apps', 'pricing', 'compared', 'applications', 'exponentially']","['price better compared apps', 'best price compared apps', 'way expensive compared apps']"
56,182,56_fast_qick_areaimproved_serviceeasy,"['fast', 'qick', 'areaimproved', 'serviceeasy', 'servicehygen', 'raini', 'kartar', 'fastand', 'operative', 'service']","['fast service', 'fast service', 'fast service']"
57,182,57_love_fetaure_didpoimtd_sometimesi,"['love', 'fetaure', 'didpoimtd', 'sometimesi', 'appgreat', 'lovedala', 'designer', 'somuch', 'loveing', 'vari']","['love app', 'love app', 'love app']"
58,174,58_happy_take__,"['happy', 'take', '', '', '', '', '', '', '', '']","['happy', 'happy', 'happy']"
59,172,59_gst_menu_rs_charging,"['gst', 'menu', 'rs', 'charging', 'cost', 'actual', 'price', 'rupees', 'prices', 'bill']","['price zomato charge food high compare hotel menu plus also charge delivery charges', 'price charged food high original price food specific restaurant seen compared charges sometimes almost 3 times original price example check ganesh misthan lal mohan price zomato charging rs 60 per piece whereas ganesh misthan rs 40 per piece ordered masada dosa original price rs 160 whereas zomato charging rs 190 plus gst plus delivery charges plus platform fees looting money', 'platform fee zomato already charging extra compared restaurant menu']"
60,172,60_thank_thanx_nx_mell,"['thank', 'thanx', 'nx', 'mell', 'thanks', 'thankx', 'thankq', 'convience', 'baby', 'welcome']","['thank', 'thank', 'thank']"
61,172,61_useful_vety_usefully_purposes,"['useful', 'vety', 'usefully', 'purposes', 'vert', 'informative', 'usable', 'beneficial', 'occasions', 'situations']","['useful', 'useful', 'useful']"
62,167,62_uu_ordering_anything_search,"['uu', 'ordering', 'anything', 'search', 'anytime', 'navigate', 'understandable', 'quickly', 'idkif', 'widget']","['yeah app helpful order anything dont feel like making anything fast easy understandable app love app', 'good app bcoz uu order anything uu wanttt good one', 'please bring widget notification order tracking maybe already android 16 idkif please bring one would helpful']"
63,163,63_tq_brothers_blessed_fresh,"['tq', 'brothers', 'blessed', 'fresh', 'hot', 'hats', 'smiles', 'dishesalmost', 'vrindavan', 'foodnd']","['amazing fastest food delivery loved tq zomato', 'food time delivery great fastest delivery tq food delivery brothers overall good experience tq zomato', 'zomato connected varied choices food one dabba garam lovely food product delivered fresh economical pay middle class salaried working class zomato wonderful site must opt app quick delivery food dont want u wait longer highly recommended marked excellent prema narayan captain indian navy']"
64,162,64_ambassador_quitting_neglect_brand,"['ambassador', 'quitting', 'neglect', 'brand', 'resolutions', 'resolved', 'waist', 'rude', 'becoming', 'ruin']","['horrible pathetic services provided zomato none instructions followed difficult connect along associates representating zomato none requests followed accepted never ever recommend anyone zomatoas robfool cheat customers disgusting servicesi wish option rating negative matter whenever expect services improve never going happen zomato fair', 'remove mary kom brand ambassador used husband going purple patch left winning everything dont like zomato choose brand ambassador', 'terrible experience zomato rider today without provocation mistake partner used highly offensive language calling chutiya spoke extremely loud aggressive tone caused break tears shocking someone representing service like zomato could behave unprofessionally abusively absolutely justification behavior conduct completely unacceptable reflects poorly zomatos servic']"
65,161,65_timely_timed_delivers_hygeine,"['timely', 'timed', 'delivers', 'hygeine', 'ontime', 'time', 'delivering', 'fresh', 'punctuality', 'shortest']","['timely delivered offers fresh foods', 'received amazing food ontime delivery excellent service everything fresh delicious perfectly timed great experience', 'timely delivering food']"
66,155,66_easy_use_useing_convinient,"['easy', 'use', 'useing', 'convinient', 'yo', 'easily', 'interesting', 'effective', 'quite', 'working']","['easy use', 'use easy', 'easy use']"
67,154,67_like_itlove_dise_blessing,"['like', 'itlove', 'dise', 'blessing', 'dis', 'imagine', 'starting', 'true', 'wow', 'friend']","['like', 'like', 'like']"
68,154,68_charges_charge_actual_higher,"['charges', 'charge', 'actual', 'higher', 'double', 'high', 'chossing', 'expensive', 'laziness', 'bill']","['expensive actual restaurant price high delivery charges', 'delivery charges food charges', 'delivery charges food']"
69,151,69_affordable_expensive_price_costly,"['affordable', 'expensive', 'price', 'costly', 'overprice', 'prices', 'little', 'low', 'cost', 'priced']","['expensive food prices', 'tasty affordable price', 'overprice ki rukaan bqtter go local restaurent suggestion non vev lover vet chicnen mutton fish local market get rady eat local store save mote 40']"
70,151,70_work_darbhanga_contribution_stuff,"['work', 'darbhanga', 'contribution', 'stuff', 'riders', 'good', 'everyone', 'thanks', 'thank', '']","['good work', 'good work', 'good work']"
71,150,71_delicious_tasty_atmosphere_crispy,"['delicious', 'tasty', 'atmosphere', 'crispy', 'yummytasty', 'goodthnxxx', 'servicefor', 'blush', 'givesall', 'gooof']","['nice delicious food service', 'delicious food great service', 'delicious food great service']"
72,149,72_servicing_loing_anosha_upsss,"['servicing', 'loing', 'anosha', 'upsss', 'castomare', 'dought', 'sou', 'good7', 'peovided', 'servicekeep']","['good servicing', 'good servicing', 'good servicing']"
73,149,73_offers_deals_attract_offer,"['offers', 'deals', 'attract', 'offer', 'dush', 'jt', 'joiners', 'stingy', 'servicen', 'saytheir']","['good offers service', 'good offers service', 'good offers service']"
74,147,74_vah_va_talented_vgood,"['vah', 'va', 'talented', 'vgood', 'batter', 'vry', 'good', 'keep', 'love', 'service']","['vah', 'vah', 'va vah']"
75,144,75_really_veryg_waoo_required,"['really', 'veryg', 'waoo', 'required', 'busy', 'pretty', 'good', 'thats', 'loved', 'say']","['really good', 'really good', 'really good']"
76,142,76_super_superhit_superapp_argent,"['super', 'superhit', 'superapp', 'argent', 'copuns', 'smaller', 'hero', 'superr', 'no1', 'app']","['super app', 'super app', 'super app']"
77,142,77_discounts_discount_competitors_discounted,"['discounts', 'discount', 'competitors', 'discounted', 'nowvery', 'whyam', 'ordergreat', 'optionsnot', 'platformsnd', 'puma']","['nice app good discounts', 'nice app good discounts', 'good app discounts']"
78,142,78_restaurants_variety_recommendation_restaurant,"['restaurants', 'variety', 'recommendation', 'restaurant', 'cafe', 'network', 'choice', 'collection', 'find', 'pricier']","['restaurants food good', 'good restaurants', 'good restaurants']"
79,141,79_fabulous_fabulousall_awesomefantastic_fabulousamazing,"['fabulous', 'fabulousall', 'awesomefantastic', 'fabulousamazing', 'fabulously', 'nat', 'magical', 'site', 'truly', 'fantastic']","['fabulous', 'fabulous', 'fabulous']"
80,140,80_android_friendly_wander_amazingi,"['android', 'friendly', 'wander', 'amazingi', 'downover', 'countinuesly', 'applicationwith', 'user', 'serviceapp', 'ittttt']","['excellent service user friendly app', 'app works fine service great im using since many years android ios im satisfied great customer service well one note please add love activities android thanks', 'thank great serviceapp amazingi greatful app']"
81,140,81_tasty_fresh_grab_time,"['tasty', 'fresh', 'grab', 'time', 'hot', 'maku', 'sumptous', '100010', 'trian', 'swiegg']","['tasty time', 'time food tasty', 'always fresh time tasty food']"
82,139,82_services_messeges_goodawesome_fields,"['services', 'messeges', 'goodawesome', 'fields', 'social', 'decent', 'coustomer', 'good', 'product', 'provided']","['good services', 'good services', 'good services']"
83,136,83_offers_goodgive_disocunts_offerd,"['offers', 'goodgive', 'disocunts', 'offerd', 'opportunity', 'avail', 'worthy', 'lately', 'alot', 'everyday']","['good offers', 'good offers', 'good offers']"
84,136,84_perfect_perfectoo_itz_okok,"['perfect', 'perfectoo', 'itz', 'okok', 'absolutely', 'ok', '', '', '', '']","['perfect', 'perfect', 'perfect']"
85,134,85_refund_cancelled_refunded_havent,"['refund', 'cancelled', 'refunded', 'havent', 'refunds', 'canceled', 'cancelling', 'completed', 'yess', 'days']","['bad experience cancelled order didnt refund money', 'customer service refund order cancelled', 'refund cancelled order']"
86,134,86_tracking_userfriendly_realtime_menus,"['tracking', 'userfriendly', 'realtime', 'menus', 'reviews', 'detailed', 'interface', 'goto', 'wide', 'cuisines']","['zomato super easy use app smooth userfriendly deliveries usually time love tracking feature variety restaurants available makes ordering food convenient', 'zomato excellent platform food lovers app userfriendly offers wide range restaurants provides detailed menus reviews ratings help make best choice delivery usually quick customer support responsive case issues live tracking feature regular discounts add great value overall experience musthave app anyone enjoys convenient quality food delivery', 'zomato makes ordering food incredibly easy convenient app interface clean userfriendly really like detailed menus ratings reviews delivery usually time realtime tracking super helpful']"
87,131,87_gold_membership_member_subscription,"['gold', 'membership', 'member', 'subscription', 'benefits', 'offered', 'purchasing', 'members', 'reward', 'benifits']","['great experience gold membership', 'gold membership great', 'best gold membership']"
88,130,88_delevery_delivary_delievery_delecious,"['delevery', 'delivary', 'delievery', 'delecious', 'delivry', 'delevry', 'delivey', 'delever', 'delecius', 'delavery']","['good delevery', 'good delevery', 'good delevery']"
89,129,89_worst_world_whorst_onesided,"['worst', 'world', 'whorst', 'onesided', 'liberal', 'comunication', 'signing', 'thz', 'hypocrite', '10000']","['worst app', 'worst app n', 'worst app']"
90,129,90_loved_loveed_lovedddd_burrrrrha,"['loved', 'loveed', 'lovedddd', 'burrrrrha', 'survive', 'dis', 'ur', 'well', 'much', '']","['loved', 'loved', 'loved']"
91,128,91_fast_accurate_ots_dly,"['fast', 'accurate', 'ots', 'dly', 'faste', 'track', 'fuss', 'tonight', 'gentle', 'fastly']","['fast', 'fast', 'fast']"
92,127,92_extra_charges_hidden_reduce,"['extra', 'charges', 'hidden', 'reduce', 'unnecessary', 'additional', 'much', 'wmextra', 'gon', 'packung']","['extra charges', 'extra charges', 'extra charges']"
93,126,93_bahut_acha_hai_ye,"['bahut', 'acha', 'hai', 'ye', 'bohot', 'log', 'kabhi', 'kam', 'khana', 'badiya']","['yeh app acha lekin kabhi kabhi achi deal nhi deta isliye mai ek star kam kar raha hu baki app acha hai', 'bahut acha app hai', 'nice app bahut acha app hai']"
94,125,94_awesome_appliction_feaures_appslove,"['awesome', 'appliction', 'feaures', 'appslove', 'awesomeoverall', 'dipender', 'founder', 'appa', 'fails', 'save']","['awesome app', 'awesome app', 'awesome app']"
95,125,95_great_service__,"['great', 'service', '', '', '', '', '', '', '', '']","['great service', 'great service', 'great service']"
96,123,96_best_greasy_ddlivery_rerating,"['best', 'greasy', 'ddlivery', 'rerating', 'apppppppppp', 'fooding', '9999', 'behatrin', 'carbohydrates', 'aura']","['best app food', 'rerating 5 years best progress app uiux best app food', 'best food ever choose oily greasy food protein carbohydrates salad best thing app holiday special give discount buy one get one free offer common app love app']"
97,122,97_matchless_thoko_salaman_jhakash,"['matchless', 'thoko', 'salaman', 'jhakash', 'jometo', 'badservicezomato', '412', '28625', '1127', 'hydrabadi']","['चर कह क एक पज मगवय तन बर पस कट गए पहल गल गल घमत रह पत नह कय कर रख ह e mail कय कह 28625 तक पस वपस आ जएग अभ तक नह आए चर एप ह हमर पस वपस कर ओक 412 र', '930 बज खन ऑरडर कय थ और खन 1127 प आ रह ह व भ ठड मतलब अब कय करन इस खन क अगर service नह ह प रह ह त बद कर द य hydrabadi chicken mini biryani md salaman delivery partner टप क ऑपशन भ भर दत ह क टप द हमर बनद क', 'proven beyond words utter matchless matchless matchless आदम जब भख हत ह त आपक ह यद करत ह']"
98,121,98_rates_affordable_reasonable_price,"['rates', 'affordable', 'reasonable', 'price', 'little', 'prices', 'expensive', 'costlier', 'costly', 'valve']","['good service rates high', 'high rates good services', 'good service affordable rates']"
99,121,99_mast_hats_hatagsg_chee,"['mast', 'hats', 'hatagsg', 'chee', 'captain', 'bang', 'master', 'improving', 'ap', 'service']","['mast', 'mast', 'mast']"
100,120,100_gojussssss_best_servings_wid,"['gojussssss', 'best', 'servings', 'wid', 'go', 'villages', 'essential', 'date', 'oriented', 'recommendation']","['best app food delivery', 'best app food delivery', 'best app food delivery']"
101,120,101_worst_worldand_costamar_experienceshow,"['worst', 'worldand', 'costamar', 'experienceshow', 'udaipur', 'ranchi', 'ever', 'capable', 'quit', 'service']","['worst service', 'worst service', 'worst service']"
102,115,102_timegood_bus_time_slo,"['timegood', 'bus', 'time', 'slo', 'deoarture', 'msged', 'helpfu', '10am', 'pakka', 'chesaru']","['delivery timegood', 'ordered around 45 min bus deoarture showing 35 min delivery time msged delivery boy bus 10am told ok going able find location eventually bus left able take delivery prepaid money also gone careful choose cash delivery option', 'getting delivery timegood']"
103,115,103_vihar_vasant_usthey_fresh,"['vihar', 'vasant', 'usthey', 'fresh', 'cafes', 'thanku', 'special', 'ordering', 'wonderfulbut', 'poaka']","['hatari food always delectable today exception zomato service great lets poaka food equally great come back pork thukpa time zomato ordered 4 chicken meals today im sure itll delicious always', 'food always delicious fresh never got food zomato fresh always fresh tasty everyone house love ordered zomato zomato best food delivery spot order food always order zomato matter best best place order food always order mcdonalds always fresh delivery partners also respectful usthey never misbehavei shout usthey always calm polite ok', 'excellent experience thank zomato make life tasty easy best dosa special restaurant vasant vihar city visited haldiram came last week ordered vasant vihar 2330 delicious taste door step 2358 zomato']"
104,115,104_bad_experience_upside_weset,"['bad', 'experience', 'upside', 'weset', 'irritates', 'vare', '7th', 'mosquito', 'heaven', 'stage']","['bad experience', 'bad experience', 'bad experience']"
105,114,105_super_grow_narasaraopet_superthank,"['super', 'grow', 'narasaraopet', 'superthank', 'pro', 'ooh', 'supereb', 'men', 'service', 'max']","['super service', 'super service', 'super service']"
106,113,106_yum_yas_yumm_yeah,"['yum', 'yas', 'yumm', 'yeah', 'yup', 'ohhh', 'oh', 'meh', 'ohk', 'yayy']","['yum yum', 'yum', 'yum yum']"
107,112,107_worst_worse_became_,"['worst', 'worse', 'became', '', '', '', '', '', '', '']","['worst', 'worst', 'worst']"
108,111,108_luv_thanx_zo_lv,"['luv', 'thanx', 'zo', 'lv', 'zing', 'no1', 'rq', 'nays', 'morewe', 'clzzzz']","['luv u zomato', 'luv zomato', 'zomato name good please dont change eternal chadha goyal shab adat hogyi zomato bolne ki']"
109,111,109_cool_af_hmm_ok,"['cool', 'af', 'hmm', 'ok', '', '', '', '', '', '']","['cool', 'cool', 'cool']"
110,111,110_fastest_fast_boxes_hot,"['fastest', 'fast', 'boxes', 'hot', 'gooooooooooooooooood', 'soooooooooooooooooooo', 'gintaa', 'sorter', 'foodiesprice', 'colyty']","['best fastest food delivery app', 'best fastest food delivery app', 'app nice food also great fastest food delivery app']"
111,111,111_swiggy_quote_vegan_comparing,"['swiggy', 'quote', 'vegan', 'comparing', 'better', 'zom', 'far', 'laver', 'kavali', 'mula']","['swiggy better zomato', 'zomato better swiggy', 'zomato better swiggy']"
112,111,112_better_could_mach_hmm,"['better', 'could', 'mach', 'hmm', 'previous', 'yes', 'definitely', 'feel', 'thats', 'way']","['better', 'better', 'better']"
113,110,113_fooding_tasters_damnnnnn_mebut,"['fooding', 'tasters', 'damnnnnn', 'mebut', 'best', 'fro', 'outside', 'grab', 'recommendation', 'food']","['best food app mebut guys make sure use limit outside food everyday thing right', 'best fooding app', 'best ne fooding app']"
114,110,114_palse_fooddddd_wowwwwwwww_crunchy,"['palse', 'fooddddd', 'wowwwwwwww', 'crunchy', 'vipin', 'tastey', 'bell', 'lovely', 'seat', 'apk']","['nice fooddddd', 'nice food wowwwwwwww', 'nice palse food']"
115,110,115_aap_aappp_aashiqss_aa0,"['aap', 'aappp', 'aashiqss', 'aa0', 'opps', 'asp', 'alp', 'aall', 'aop', 'aaap']","['good aap', 'good aap', 'good aap']"
